2024-01-04T08:45:49.000Z;13.589522;47.358753;1860.94165
2024-01-04T08:47:34.999Z;13.589546;47.358738;1862.11914
2024-01-04T08:47:36.999Z;13.589579;47.358746;1862.51111
2024-01-04T08:47:38.999Z;13.589619;47.35875;1862.70288
2024-01-04T08:47:40.999Z;13.589652;47.358748;1862.84631
2024-01-04T08:47:42.999Z;13.589692;47.358749;1862.94543
2024-01-04T08:47:44.999Z;13.589735;47.358758;1862.9989
2024-01-04T08:47:46.999Z;13.589775;47.358777;1863.04871
2024-01-04T08:47:47.999Z;13.589796;47.35879;1863.07813
2024-01-04T08:47:48.999Z;13.589812;47.358806;1863.09985
2024-01-04T08:47:49.999Z;13.589838;47.358824;1863.09302
2024-01-04T08:47:50.999Z;13.589867;47.358847;1863.0531
2024-01-04T08:47:51.999Z;13.589897;47.358868;1862.98645
2024-01-04T08:47:52.999Z;13.58992;47.358887;1862.91003
2024-01-04T08:47:53.999Z;13.589943;47.35891;1862.82703
2024-01-04T08:47:54.999Z;13.58997;47.358938;1862.73218
2024-01-04T08:47:55.999Z;13.59;47.358971;1862.60034
2024-01-04T08:47:56.999Z;13.59002;47.35901;1862.45483
2024-01-04T08:47:57.999Z;13.590031;47.359054;1862.30078
2024-01-04T08:47:58.999Z;13.590065;47.359099;1862.13342
2024-01-04T08:47:59.999Z;13.590104;47.359152;1861.99548
2024-01-04T08:48:00.999Z;13.590142;47.359212;1861.7229
2024-01-04T08:48:01.999Z;13.590206;47.359263;1861.44531
2024-01-04T08:48:02.999Z;13.590251;47.359323;1861.13611
2024-01-04T08:48:03.999Z;13.590306;47.359383;1860.79431
2024-01-04T08:48:04.999Z;13.590386;47.359444;1860.40601
2024-01-04T08:48:05.999Z;13.590465;47.359507;1859.97595
2024-01-04T08:48:06.999Z;13.590547;47.359568;1859.47107
2024-01-04T08:48:07.999Z;13.59062;47.359627;1858.89478
2024-01-04T08:48:08.999Z;13.590685;47.359679;1858.30396
2024-01-04T08:48:09.999Z;13.590708;47.359744;1857.64941
2024-01-04T08:48:10.999Z;13.590756;47.359808;1856.95801
2024-01-04T08:48:11.999Z;13.590822;47.359862;1856.2262
2024-01-04T08:48:12.999Z;13.590836;47.359937;1855.47534
2024-01-04T08:48:13.999Z;13.590824;47.360011;1854.61365
2024-01-04T08:48:14.999Z;13.590879;47.360071;1853.71021
2024-01-04T08:48:15.999Z;13.590975;47.360114;1852.74731
2024-01-04T08:48:16.999Z;13.591066;47.360157;1851.70569
2024-01-04T08:48:17.999Z;13.591104;47.360199;1850.63159
2024-01-04T08:48:18.999Z;13.591094;47.360252;1849.54102
2024-01-04T08:48:19.999Z;13.591112;47.360324;1848.42798
2024-01-04T08:48:20.999Z;13.591197;47.360376;1847.28186
2024-01-04T08:48:21.999Z;13.59129;47.360423;1846.09216
2024-01-04T08:48:22.999Z;13.591364;47.360477;1844.90845
2024-01-04T08:48:23.999Z;13.59135;47.360543;1843.7395
2024-01-04T08:48:24.999Z;13.59131;47.360621;1842.53125
2024-01-04T08:48:25.999Z;13.591311;47.360696;1841.31482
2024-01-04T08:48:26.999Z;13.591348;47.360752;1840.12476
2024-01-04T08:48:27.999Z;13.591402;47.36076;1838.96155
2024-01-04T08:48:28.999Z;13.591467;47.3608;1837.76636
2024-01-04T08:48:29.999Z;13.591607;47.360843;1836.42847
2024-01-04T08:48:30.999Z;13.591678;47.360887;1835.16077
2024-01-04T08:48:31.999Z;13.591739;47.360932;1833.8988
2024-01-04T08:48:32.999Z;13.591809;47.360958;1832.65649
2024-01-04T08:48:33.999Z;13.5919;47.360989;1831.46912
2024-01-04T08:48:34.999Z;13.591999;47.361022;1830.29956
2024-01-04T08:48:35.999Z;13.592096;47.361053;1829.18127
2024-01-04T08:48:36.999Z;13.592199;47.361092;1828.10486
2024-01-04T08:48:37.999Z;13.592298;47.361131;1827.01758
2024-01-04T08:48:38.999Z;13.592394;47.36118;1825.8894
2024-01-04T08:48:39.999Z;13.592494;47.361213;1824.75293
2024-01-04T08:48:40.999Z;13.592601;47.361234;1823.64319
2024-01-04T08:48:41.999Z;13.592696;47.361221;1822.52893
2024-01-04T08:48:42.999Z;13.592739;47.361176;1821.3811
2024-01-04T08:48:43.999Z;13.592716;47.361119;1820.15942
2024-01-04T08:48:44.999Z;13.592712;47.361065;1818.96838
2024-01-04T08:48:45.999Z;13.592701;47.361014;1817.78687
2024-01-04T08:48:46.999Z;13.592675;47.360947;1816.57678
2024-01-04T08:48:47.999Z;13.592681;47.360887;1815.33716
2024-01-04T08:48:48.999Z;13.592671;47.360806;1814.08179
2024-01-04T08:48:49.999Z;13.592665;47.360714;1812.97693
2024-01-04T08:48:50.999Z;13.592658;47.36061;1811.78052
2024-01-04T08:48:51.999Z;13.592617;47.360517;1810.56311
2024-01-04T08:48:52.999Z;13.592575;47.360427;1809.27539
2024-01-04T08:48:53.999Z;13.59259;47.360345;1807.96265
2024-01-04T08:48:54.999Z;13.592592;47.360262;1806.61365
2024-01-04T08:48:55.999Z;13.592607;47.360174;1805.20764
2024-01-04T08:48:56.999Z;13.592614;47.360087;1803.79785
2024-01-04T08:48:57.999Z;13.592606;47.359983;1802.40259
2024-01-04T08:48:58.999Z;13.592627;47.359897;1801.03247
2024-01-04T08:48:59.999Z;13.592642;47.359809;1799.61816
2024-01-04T08:49:00.999Z;13.59268;47.35973;1798.10718
2024-01-04T08:49:01.999Z;13.592687;47.359652;1796.56763
2024-01-04T08:49:02.999Z;13.592667;47.359561;1795.00708
